agency_name,stop_name,number_of_routes_served,route_id(s)_served,route_type,number_of_arrivals,number_of_hours_in_service,x,y,route_type_defined,geometry,county_name,total_arrivals,hqta_type,SB79_tier,route_type_defined	
Santa Clara Valley Transportation Authority,Bird & Coe,1,64A,3,34,18,-121.898053,37.3155160000001,Bus,POINT (-121.898053 37.3155160000001),Santa Clara,68,,,
Santa Clara Valley Transportation Authority,Winfield & Coleman,1,64A,3,34,18,-121.868849,37.2435520000001,Bus,POINT (-121.868849 37.2435520000001),Santa Clara,140,,,
Santa Clara Valley Transportation Authority,Charleston & Amphitheater,2,"40, ACE Orange",3,35,17,-122.089913,37.423191,Bus,POINT (-122.089913 37.423191),Santa Clara,70,,,
Santa Clara Valley Transportation Authority,Shoreline & Charleston,2,"40, ACE Orange",3,35,17,-122.078092,37.419704,Bus,POINT (-122.078092 37.419704),Santa Clara,70,,,
Santa Clara Valley Transportation Authority,Hamilton & Mendenhall,2,"56, Express 101",3,35,18,-121.974343,37.293707999,Bus,POINT (-121.974343 37.293707999),Santa Clara,140,,,
Santa Clara Valley Transportation Authority,Minnesota & Newport,2,"56, School 256",3,35,17,-121.9008,37.301862,Bus,POINT (-121.9008 37.301862),Santa Clara,70,,,
Santa Clara Valley Transportation Authority,Alma & Minnesota,2,"56, School 256",3,35,17,-121.887826,37.3088730000001,Bus,POINT (-121.887826 37.3088730000001),Santa Clara,70,,,
Santa Clara Valley Transportation Authority,Alma & Pomona,2,"56, School 256",3,35,17,-121.876664,37.314422,Bus,POINT (-121.876664 37.314422),Santa Clara,70,,,
Santa Clara Valley Transportation Authority,Scott & Lakeside,2,"20, ACE Gray",3,35,16,-121.980048,37.380413,Bus,POINT (-121.980048 37.380413),Santa Clara,70,,,
Santa Clara Valley Transportation Authority,Charleston & Huff,2,"40, ACE Orange",3,35,17,-122.082065,37.420668,Bus,POINT (-122.082065 37.420668),Santa Clara,70,,,
Santa Clara Valley Transportation Authority,Almaden & Foxchase,1,64A,3,36,18,-121.875222,37.252167,Bus,POINT (-121.875222 37.252167),Santa Clara,72,,,
Santa Clara Valley Transportation Authority,Bollinger & De Anza,1,25,3,37,17,-122.030765,37.3119750000001,Bus,POINT (-122.030765 37.3119750000001),Santa Clara,74,,,
Santa Clara Valley Transportation Authority,Bollinger & Blaney,1,25,3,37,17,-122.022938,37.309698999,Bus,POINT (-122.022938 37.309698999),Santa Clara,154,,,
Santa Clara Valley Transportation Authority,Bollinger & Alderbrook,1,25,3,37,17,-122.017517,37.3100380000001,Bus,POINT (-122.017517 37.3100380000001),Santa Clara,154,,,
Santa Clara Valley Transportation Authority,Bollinger & Miller,1,25,3,37,17,-122.011676,37.310394,Bus,POINT (-122.011676 37.310394),Santa Clara,154,,,
Santa Clara Valley Transportation Authority,Bollinger & Tullipan,1,25,3,37,17,-122.008408,37.310621,Bus,POINT (-122.008408 37.310621),Santa Clara,74,,,
Santa Clara Valley Transportation Authority,Bollinger & Johnson,1,25,3,37,17,-122.00268,37.3101570000001,Bus,POINT (-122.00268 37.3101570000001),Santa Clara,154,,,
Santa Clara Valley Transportation Authority,Bollinger & Wunderlich,1,25,3,37,17,-121.997896,37.309668,Bus,POINT (-121.997896 37.309668),Santa Clara,154,,,
Santa Clara Valley Transportation Authority,Moorpark & Lawrence,1,25,3,37,17,-121.995281,37.3094150000001,Bus,POINT (-121.995281 37.3094150000001),Santa Clara,154,,,
Santa Clara Valley Transportation Authority,Williams & Moorpark,1,25,3,37,17,-121.99329,37.308823999,Bus,POINT (-121.99329 37.308823999),Santa Clara,74,,,
Santa Clara Valley Transportation Authority,Williams & Happy Valley,1,25,3,37,17,-121.990207,37.308476,Bus,POINT (-121.990207 37.308476),Santa Clara,154,,,
Santa Clara Valley Transportation Authority,Williams & Marilla,1,25,3,37,17,-121.983770999,37.308519,Bus,POINT (-121.983770999 37.308519),Santa Clara,74,,,
Santa Clara Valley Transportation Authority,Java & Mathilda,3,"56, ACE Red, Express 121",3,37,16,-122.024017,37.413826,Bus,POINT (-122.024017 37.413826),Santa Clara,74,,,
Santa Clara Valley Transportation Authority,Java & Bordeaux,3,"56, ACE Red, Express 121",3,37,16,-122.021587,37.4122840000001,Bus,POINT (-122.021587 37.4122840000001),Santa Clara,148,,,
Santa Clara Valley Transportation Authority,Java & Borregas,3,"56, ACE Red, Express 121",3,37,16,-122.017639,37.411411,Bus,POINT (-122.017639 37.411411),Santa Clara,148,,,
Santa Clara Valley Transportation Authority,Tasman & Lawrence,2,"55, Express 121",3,37,18,-121.994683,37.403307,Bus,POINT (-121.994683 37.403307),Santa Clara,74,,,
Santa Clara Valley Transportation Authority,Williams & Saratoga,1,25,3,38,18,-121.977117,37.3080580010001,Bus,POINT (-121.977117 37.3080580010001),Santa Clara,158,,,
Santa Clara Valley Transportation Authority,Williams & Ranchero,1,25,3,38,18,-121.973732,37.3081340000001,Bus,POINT (-121.973732 37.3081340000001),Santa Clara,76,,,
Santa Clara Valley Transportation Authority,Williams & Oakmont,1,25,3,38,18,-121.970219,37.308209,Bus,POINT (-121.970219 37.308209),Santa Clara,158,,,
Santa Clara Valley Transportation Authority,Williams & Boynton,1,25,3,38,18,-121.965508,37.3085160000001,Bus,POINT (-121.965508 37.3085160000001),Santa Clara,158,,,
Santa Clara Valley Transportation Authority,Williams & Phelps,1,25,3,38,18,-121.960564,37.308729,Bus,POINT (-121.960564 37.308729),Santa Clara,76,,,
Santa Clara Valley Transportation Authority,Williams & Eden,1,25,3,38,18,-121.954833999,37.308747,Bus,POINT (-121.954833999 37.308747),Santa Clara,158,,,
Santa Clara Valley Transportation Authority,Moorpark & Winchester,1,25,3,38,18,-121.949408,37.3159610000001,Bus,POINT (-121.949408 37.3159610000001),Santa Clara,76,,,
Santa Clara Valley Transportation Authority,Moorpark & Monroe,1,25,3,38,18,-121.942952999,37.3159870000001,Bus,POINT (-121.942952999 37.3159870000001),Santa Clara,158,,,
Santa Clara Valley Transportation Authority,Monterey & 9th,2,"84, 86",3,38,15,-121.566439,37.001603,Bus,POINT (-121.566439 37.001603),Santa Clara,76,,,
Santa Clara Valley Transportation Authority,Moorpark & Empey,1,25,3,38,18,-121.937358999,37.315977,Bus,POINT (-121.937358999 37.315977),Santa Clara,76,,,
Santa Clara Valley Transportation Authority,Monterey & 10th,2,"84, 86",3,39,16,-121.56579,37.000796,Bus,POINT (-121.56579 37.000796),Santa Clara,78,,,
Santa Clara Valley Transportation Authority,Hillview & Miranda (Stanford Health),5,"89, Express 101, Express 102, Express 103, Express 104",3,39,14,-122.145642,37.4050590000001,Bus,POINT (-122.145642 37.4050590000001),Santa Clara,78,,,
Santa Clara Valley Transportation Authority,Hillview & Watkins-Johnson,5,"89, Express 101, Express 102, Express 103, Express 104",3,39,14,-122.145473,37.4081130000001,Bus,POINT (-122.145473 37.4081130000001),Santa Clara,78,,,
Santa Clara Valley Transportation Authority,Hanover & Hillview,5,"89, Express 101, Express 102, Express 103, Express 104",3,39,14,-122.14693,37.4092670000001,Bus,POINT (-122.14693 37.4092670000001),Santa Clara,78,,,
Santa Clara Valley Transportation Authority,Hanover & Hillview (Lockheed Martin),5,"89, Express 101, Express 102, Express 103, Express 104",3,39,14,-122.145754999,37.4107040000001,Bus,POINT (-122.145754999 37.4107040000001),Santa Clara,78,,,
Santa Clara Valley Transportation Authority,Hanover & Curve,5,"89, Express 101, Express 102, Express 103, Express 104",3,39,14,-122.143121,37.413916,Bus,POINT (-122.143121 37.413916),Santa Clara,312,,,
Santa Clara Valley Transportation Authority,Hanover & Page Mill,5,"89, Express 101, Express 102, Express 103, Express 104",3,39,13,-122.146344,37.4167790000001,Bus,POINT (-122.146344 37.4167790000001),Santa Clara,78,,,
Santa Clara Valley Transportation Authority,Hanover & Hewlett Packard,5,"89, Express 101, Express 102, Express 103, Express 104",3,39,13,-122.145648,37.4110180000001,Bus,POINT (-122.145648 37.4110180000001),Santa Clara,78,,,
Santa Clara Valley Transportation Authority,Hillview & Porter,5,"89, Express 101, Express 102, Express 103, Express 104",3,39,13,-122.146593,37.408663,Bus,POINT (-122.146593 37.408663),Santa Clara,156,,,
Santa Clara Valley Transportation Authority,Page Mill & Hanover,5,"89, Express 101, Express 102, Express 103, Express 104",3,39,14,-122.146489,37.4175230000001,Bus,POINT (-122.146489 37.4175230000001),Santa Clara,78,,,
Santa Clara Valley Transportation Authority,Page Mill & Hansen,5,"89, Express 101, Express 102, Express 103, Express 104",3,39,14,-122.145132,37.4191650000001,Bus,POINT (-122.145132 37.4191650000001),Santa Clara,78,,,
Santa Clara Valley Transportation Authority,Page Mill & Ramos,5,"89, Express 101, Express 102, Express 103, Express 104",3,39,14,-122.143748,37.420829,Bus,POINT (-122.143748 37.420829),Santa Clara,156,,,
Santa Clara Valley Transportation Authority,Williams & Leo,1,25,3,40,17,-121.981507001,37.3086030000001,Bus,POINT (-121.981507001 37.3086030000001),Santa Clara,80,,,
Santa Clara Valley Transportation Authority,Williams & Rockdale,1,25,3,40,17,-121.985135999,37.308679,Bus,POINT (-121.985135999 37.308679),Santa Clara,80,,,
Santa Clara Valley Transportation Authority,Bollinger & Tantau,1,25,3,40,17,-122.00822,37.310799,Bus,POINT (-122.00822 37.310799),Santa Clara,80,,,
Santa Clara Valley Transportation Authority,Yerba Buena & San Felipe,2,"31, 42",3,40,17,-121.77072,37.2995250000001,Bus,POINT (-121.77072 37.2995250000001),Santa Clara,160,,,
Santa Clara Valley Transportation Authority,Yerba Buena & Footbridge,2,"31, 42",3,40,17,-121.767861,37.2990970000001,Bus,POINT (-121.767861 37.2990970000001),Santa Clara,160,,,
Santa Clara Valley Transportation Authority,Yerba Buena & Evergreen Valley College,2,"31, 42",3,40,17,-121.764062,37.297765999,Bus,POINT (-121.764062 37.297765999),Santa Clara,160,,,
Santa Clara Valley Transportation Authority,Moorpark & Thornton,1,25,3,41,18,-121.939216,37.3161650000001,Bus,POINT (-121.939216 37.3161650000001),Santa Clara,82,,,
Santa Clara Valley Transportation Authority,Williams & Winchester,1,25,3,41,18,-121.950809,37.3089570000001,Bus,POINT (-121.950809 37.3089570000001),Santa Clara,82,,,
Santa Clara Valley Transportation Authority,Williams & Cypress,1,25,3,41,18,-121.960201,37.3088900000001,Bus,POINT (-121.960201 37.3088900000001),Santa Clara,82,,,
Santa Clara Valley Transportation Authority,Williams & Orchid,1,25,3,41,18,-121.974257,37.3082910000001,Bus,POINT (-121.974257 37.3082910000001),Santa Clara,82,,,
Santa Clara Valley Transportation Authority,Fruitvale & Allendale,2,"26, 51",3,42,17,-122.01365,37.267662,Bus,POINT (-122.01365 37.267662),Santa Clara,170,,,
Santa Clara Valley Transportation Authority,San Felipe & Yerba Buena,2,"31, 39",3,42,16,-121.773445,37.301561,Bus,POINT (-121.773445 37.301561),Santa Clara,84,,,
Santa Clara Valley Transportation Authority,San Felipe & Bowery,2,"31, 39",3,42,16,-121.775229,37.3034270000001,Bus,POINT (-121.775229 37.3034270000001),Santa Clara,84,,,
Santa Clara Valley Transportation Authority,Fruitvale & Saratoga,2,"26, 51",3,43,17,-122.014154,37.270607,Bus,POINT (-122.014154 37.270607),Santa Clara,86,,,
Santa Clara Valley Transportation Authority,San Felipe & Paseo de Arboles,2,"31, 39",3,43,17,-121.772829,37.3005840000001,Bus,POINT (-121.772829 37.3005840000001),Santa Clara,86,,,
Santa Clara Valley Transportation Authority,Winchester & Sunnyoaks,2,"27, 37",3,43,17,-121.954372,37.2717889990001,Bus,POINT (-121.954372 37.2717889990001),Santa Clara,86,,,
Santa Clara Valley Transportation Authority,Hacienda & Winchester,2,"27, 37",3,43,17,-121.956971,37.2692430000001,Bus,POINT (-121.956971 37.2692430000001),Santa Clara,86,,,
Santa Clara Valley Transportation Authority,Hacienda & Walnut,2,"27, 37",3,43,17,-121.959049,37.2692470000001,Bus,POINT (-121.959049 37.2692470000001),Santa Clara,174,,,
Santa Clara Valley Transportation Authority,Hacienda & Capri,2,"27, 37",3,43,17,-121.961126,37.269254,Bus,POINT (-121.961126 37.269254),Santa Clara,174,,,
Santa Clara Valley Transportation Authority,Hacienda & Via Ranchero,2,"27, 37",3,43,17,-121.966377999,37.2692270000001,Bus,POINT (-121.966377999 37.2692270000001),Santa Clara,86,,,
Santa Clara Valley Transportation Authority,Burrows & Hacienda,2,"27, 37",3,43,17,-121.972367,37.26881,Bus,POINT (-121.972367 37.26881),Santa Clara,174,,,
Santa Clara Valley Transportation Authority,Camden & Crystal Springs,2,"64B, 83",3,43,17,-121.87317,37.221932,Bus,POINT (-121.87317 37.221932),Santa Clara,86,,,
Santa Clara Valley Transportation Authority,Camden & Trinidad,2,"64B, 83",3,43,17,-121.866387,37.220848001,Bus,POINT (-121.866387 37.220848001),Santa Clara,176,,,
Santa Clara Valley Transportation Authority,San Felipe & Atria Evergreen Valley,2,"31, 39",3,43,17,-121.77556,37.303366,Bus,POINT (-121.77556 37.303366),Santa Clara,86,,,
Santa Clara Valley Transportation Authority,Camden & Bose,2,"64B, 83",3,43,17,-121.868716,37.2218069990001,Bus,POINT (-121.868716 37.2218069990001),Santa Clara,176,,,
Santa Clara Valley Transportation Authority,Hacienda & Gay,2,"27, 37",3,44,17,-121.966717,37.269061999,Bus,POINT (-121.966717 37.269061999),Santa Clara,88,,,
Santa Clara Valley Transportation Authority,Winchester & Hacienda,2,"27, 37",3,44,17,-121.955738,37.2695800000001,Bus,POINT (-121.955738 37.2695800000001),Santa Clara,88,,,
Santa Clara Valley Transportation Authority,Camden & Little Falls,2,"64B, 83",3,45,16,-121.872428,37.222225,Bus,POINT (-121.872428 37.222225),Santa Clara,90,,,
Santa Clara Valley Transportation Authority,Saint Louise Regional Hospital,2,"84, 85",3,46,12,-121.571866,37.0369600000001,Bus,POINT (-121.571866 37.0369600000001),Santa Clara,92,,,
Santa Clara Valley Transportation Authority,Blossom Hill & Almaden,2,"27, 83",3,46,17,-121.873522,37.250614,Bus,POINT (-121.873522 37.250614),Santa Clara,92,,,
Santa Clara Valley Transportation Authority,Blossom Hill & Sanchez,2,"27, 83",3,46,17,-121.870999,37.2504050000001,Bus,POINT (-121.870999 37.2504050000001),Santa Clara,184,,,
Santa Clara Valley Transportation Authority,Stelling & Greenleaf,1,Rapid 523,3,46,17,-122.041391,37.3309370000001,Bus,POINT (-122.041391 37.3309370000001),Santa Clara,190,,,
Santa Clara Valley Transportation Authority,Mathilda & Maude,1,Rapid 523,3,46,17,-122.030229,37.3902370010001,Bus,POINT (-122.030229 37.3902370010001),Santa Clara,248,,,
Santa Clara Valley Transportation Authority,Mathilda & San Aleso,1,Rapid 523,3,46,17,-122.028961,37.3942170010001,Bus,POINT (-122.028961 37.3942170010001),Santa Clara,92,,,
Santa Clara Valley Transportation Authority,Mathilda & Ross,1,Rapid 523,3,46,17,-122.02709,37.4006200000001,Bus,POINT (-122.02709 37.4006200000001),Santa Clara,188,,,
Santa Clara Valley Transportation Authority,Mathilda & Moffett Park,1,Rapid 523,3,46,17,-122.0259,37.4060470000001,Bus,POINT (-122.0259 37.4060470000001),Santa Clara,92,,,
Santa Clara Valley Transportation Authority,Almaden & Foxworthy,2,"37, 64A",3,47,19,-121.880024,37.2774680000001,Bus,POINT (-121.880024 37.2774680000001),Santa Clara,190,,,
Santa Clara Valley Transportation Authority,Stelling & Stevens Creek,1,Rapid 523,3,48,18,-122.041329,37.323878,Bus,POINT (-122.041329 37.323878),Santa Clara,376,,,
Santa Clara Valley Transportation Authority,Mathilda & Almanor,1,Rapid 523,3,48,18,-122.029023,37.395319,Bus,POINT (-122.029023 37.395319),Santa Clara,96,,,
Santa Clara Valley Transportation Authority,Almaden & Blossom Hill,2,"64A, 83",3,48,18,-121.875491,37.2498640000001,Bus,POINT (-121.875491 37.2498640000001),Santa Clara,198,,,
Santa Clara Valley Transportation Authority,Almaden & Via Monte,2,"64A, 83",3,48,18,-121.874979,37.2455640000001,Bus,POINT (-121.874979 37.2455640000001),Santa Clara,198,,,
Santa Clara Valley Transportation Authority,Mathilda & Innovation,1,Rapid 523,3,48,18,-122.026413,37.406467999,Bus,POINT (-122.026413 37.406467999),Santa Clara,96,,,
Santa Clara Valley Transportation Authority,Winfield & Blossom River,2,"64A, 83",3,49,18,-121.866546999,37.25329,Bus,POINT (-121.866546999 37.25329),Santa Clara,198,,,
Santa Clara Valley Transportation Authority,Chynoweth & Winfield,2,"64A, 83",3,49,18,-121.863803,37.25827,Bus,POINT (-121.863803 37.25827),Santa Clara,98,,,
Santa Clara Valley Transportation Authority,Stelling & Homestead,1,Rapid 523,3,49,18,-122.041552,37.336827,Bus,POINT (-122.041552 37.336827),Santa Clara,98,,,
Santa Clara Valley Transportation Authority,1st & Paseo de San Antonio,1,Rapid 523,3,49,18,-121.887920999,37.3326660000001,Bus,POINT (-121.887920999 37.3326660000001),Santa Clara,556,,,
Santa Clara Valley Transportation Authority,Chynoweth & Pearl,2,"64A, 83",3,50,18,-121.863666,37.258498,Bus,POINT (-121.863666 37.258498),Santa Clara,100,,,
Santa Clara Valley Transportation Authority,2nd & Santa Clara,3,"201, 202, Rapid 523",3,50,19,-121.888754,37.3356190000001,Bus,POINT (-121.888754 37.3356190000001),Santa Clara,796,,,
Santa Clara Valley Transportation Authority,Arboretum & Sand Hill,1,21,3,50,15,-122.173639,37.4405569990001,Bus,POINT (-122.173639 37.4405569990001),Santa Clara,100,,,
Santa Clara Valley Transportation Authority,2nd & Paseo de San Antonio,3,"201, 202, Rapid 523",3,50,19,-121.887453,37.333918,Bus,POINT (-121.887453 37.333918),Santa Clara,556,,,
Santa Clara Valley Transportation Authority,Santa Clara Transit Center (Bay 3),1,53,3,51,14,-121.937418,37.3535450000001,Bus,POINT (-121.937418 37.3535450000001),Santa Clara,102,,,
Santa Clara Valley Transportation Authority,Castro & Yosemite,2,"51, 52",3,52,14,-122.082779,37.387521,Bus,POINT (-122.082779 37.387521),Santa Clara,104,,,
Santa Clara Valley Transportation Authority,Castro & Mercy,2,"51, 52",3,52,14,-122.081266,37.3898610000001,Bus,POINT (-122.081266 37.3898610000001),Santa Clara,210,,,
Santa Clara Valley Transportation Authority,Mountain View Transit Center (Bay 4),2,"200, 52",3,53,15,-122.076907,37.39451,Bus,POINT (-122.076907 37.39451),Santa Clara,106,,,
Santa Clara Valley Transportation Authority,Castro & High School Way,2,"51, 52",3,53,14,-122.083278,37.3869950000001,Bus,POINT (-122.083278 37.3869950000001),Santa Clara,106,,,
Santa Clara Valley Transportation Authority,Quito & Montpere,1,57,3,53,17,-121.993313,37.268469,Bus,POINT (-121.993313 37.268469),Santa Clara,212,,,
Santa Clara Valley Transportation Authority,Quito & Westmont,1,57,3,53,17,-121.993753001,37.272452,Bus,POINT (-121.993753001 37.272452),Santa Clara,106,,,
Santa Clara Valley Transportation Authority,Quito & McCoy,1,57,3,53,17,-121.994091,37.2763780000001,Bus,POINT (-121.994091 37.2763780000001),Santa Clara,106,,,
Santa Clara Valley Transportation Authority,Quito & Baylor,1,57,3,53,17,-121.994212,37.2804980000001,Bus,POINT (-121.994212 37.2804980000001),Santa Clara,106,,,
Santa Clara Valley Transportation Authority,Quito & Northlawn,1,57,3,53,17,-121.994358001,37.2854779990001,Bus,POINT (-121.994358001 37.2854779990001),Santa Clara,106,,,
Santa Clara Valley Transportation Authority,Quito & Saratoga,1,57,3,53,17,-121.994652999,37.2881370000001,Bus,POINT (-121.994652999 37.2881370000001),Santa Clara,106,,,
Santa Clara Valley Transportation Authority,Quito & Paseo Olivos,1,57,3,53,17,-121.994546,37.2848430000001,Bus,POINT (-121.994546 37.2848430000001),Santa Clara,106,,,
Santa Clara Valley Transportation Authority,Quito & Paseo Tierra,1,57,3,53,17,-121.994473,37.282456999,Bus,POINT (-121.994473 37.282456999),Santa Clara,106,,,
Santa Clara Valley Transportation Authority,Quito & Clemson,1,57,3,53,17,-121.994415001,37.277773,Bus,POINT (-121.994415001 37.277773),Santa Clara,106,,,
Santa Clara Valley Transportation Authority,Quito & Sousa,1,57,3,53,17,-121.993939,37.2723750000001,Bus,POINT (-121.993939 37.2723750000001),Santa Clara,106,,,
Santa Clara Valley Transportation Authority,Quito & Aspesi,1,57,3,53,17,-121.993721,37.270106001,Bus,POINT (-121.993721 37.270106001),Santa Clara,106,,,
Santa Clara Valley Transportation Authority,Gavilan College,1,86,3,54,16,-121.570634,36.974922,Bus,POINT (-121.570634 36.974922),Santa Clara,108,,,
Santa Clara Valley Transportation Authority,Gilroy Transit Center (Bay 1),1,86,3,54,16,-121.566655,37.003585,Bus,POINT (-121.566655 37.003585),Santa Clara,108,,,
Santa Clara Valley Transportation Authority,California Ave Caltrain,1,89,3,54,13,-122.142176,37.429064001,Bus,POINT (-122.142176 37.429064001),Santa Clara,108,,,
Santa Clara Valley Transportation Authority,El Monte & University,2,"40, 52",3,55,17,-122.112339,37.369041999,Bus,POINT (-122.112339 37.369041999),Santa Clara,220,,,
Santa Clara Valley Transportation Authority,El Monte & Bay Tree,2,"40, 52",3,55,17,-122.116004,37.3652050000001,Bus,POINT (-122.116004 37.3652050000001),Santa Clara,110,,,
Santa Clara Valley Transportation Authority,El Monte & Voorhees,2,"40, 52",3,55,17,-122.118218,37.363048,Bus,POINT (-122.118218 37.363048),Santa Clara,220,,,
Santa Clara Valley Transportation Authority,Foothill College Loop at Planetarium,2,"40, 52",3,55,17,-122.130938,37.361409,Bus,POINT (-122.130938 37.361409),Santa Clara,110,,,
Santa Clara Valley Transportation Authority,El Monte & Stonebrook,2,"40, 52",3,55,17,-122.122177,37.359558,Bus,POINT (-122.122177 37.359558),Santa Clara,110,,,
Santa Clara Valley Transportation Authority,El Monte & Summerhill,2,"40, 52",3,55,17,-122.115142,37.3658330000001,Bus,POINT (-122.115142 37.3658330000001),Santa Clara,110,,,
Santa Clara Valley Transportation Authority,Mountain View Transit Center (Bay 2),1,51,3,55,14,-122.077232,37.394670999,Bus,POINT (-122.077232 37.394670999),Santa Clara,110,,,
Santa Clara Valley Transportation Authority,Foothill College Loop at Transit Center,2,"40, 52",3,55,17,-122.126915,37.359632,Bus,POINT (-122.126915 37.359632),Santa Clara,110,,,
Santa Clara Valley Transportation Authority,Gilroy Transit Center (Bay 4),1,Rapid 568,3,56,18,-121.566464,37.0035930000001,Bus,POINT (-121.566464 37.0035930000001),Santa Clara,112,,,
Santa Clara Valley Transportation Authority,San Jose Diridon (Bay 11),1,Rapid 568,3,56,16,-121.902321,37.3304630000001,Bus,POINT (-121.902321 37.3304630000001),Santa Clara,112,,,
Santa Clara Valley Transportation Authority,Moffett & Central Ave,2,"21, 51",3,57,16,-122.076552001,37.3973320000001,Bus,POINT (-122.076552001 37.3973320000001),Santa Clara,114,,,
Santa Clara Valley Transportation Authority,Moffett & Cypress Point,2,"21, 51",3,57,16,-122.074495,37.399166,Bus,POINT (-122.074495 37.399166),Santa Clara,230,,,
Santa Clara Valley Transportation Authority,Winchester & Camden,2,"27, 37",3,57,17,-121.949632,37.2784300000001,Bus,POINT (-121.949632 37.2784300000001),Santa Clara,228,,,
Santa Clara Valley Transportation Authority,Winchester & Friar,2,"27, 37",3,57,17,-121.951334001,37.2757520000001,Bus,POINT (-121.951334001 37.2757520000001),Santa Clara,114,,,
Santa Clara Valley Transportation Authority,Eastridge Transit Center (Bay 13),1,31,3,57,17,-121.811002,37.327347999,Bus,POINT (-121.811002 37.327347999),Santa Clara,114,,,
Santa Clara Valley Transportation Authority,Lafayette & Franklin,2,"21, 59",3,58,17,-121.943382999,37.349931,Bus,POINT (-121.943382999 37.349931),Santa Clara,236,,,
Santa Clara Valley Transportation Authority,Evelyn & Deodar,2,"20, 21",3,58,16,-122.022607,37.3739590000001,Bus,POINT (-122.022607 37.3739590000001),Santa Clara,116,,,
Santa Clara Valley Transportation Authority,Evelyn & Marshall,2,"20, 21",3,58,16,-122.024934,37.3758940000001,Bus,POINT (-122.024934 37.3758940000001),Santa Clara,116,,,
Santa Clara Valley Transportation Authority,Bowers & Cabrillo,1,57,3,58,18,-121.975656,37.3609880000001,Bus,POINT (-121.975656 37.3609880000001),Santa Clara,234,,,
Santa Clara Valley Transportation Authority,Kiely & Homestead,1,57,3,58,18,-121.976862,37.3388370000001,Bus,POINT (-121.976862 37.3388370000001),Santa Clara,234,,,
Santa Clara Valley Transportation Authority,Kiely & Kaiser,1,57,3,58,18,-121.977478,37.341571,Bus,POINT (-121.977478 37.341571),Santa Clara,234,,,
Santa Clara Valley Transportation Authority,White & Fiji,1,71,3,58,19,-121.842645,37.388515,Bus,POINT (-121.842645 37.388515),Santa Clara,234,,,
Santa Clara Valley Transportation Authority,White & Kyle,1,71,3,58,19,-121.843895,37.3867700000001,Bus,POINT (-121.843895 37.3867700000001),Santa Clara,234,,,
Santa Clara Valley Transportation Authority,Moffett & Jackson,2,"21, 51",3,58,17,-122.07707,37.3968820000001,Bus,POINT (-122.07707 37.3968820000001),Santa Clara,116,,,
Santa Clara Valley Transportation Authority,Saratoga & Latimer,1,57,3,58,18,-121.984432,37.2981550000001,Bus,POINT (-121.984432 37.2981550000001),Santa Clara,234,,,
Santa Clara Valley Transportation Authority,Saratoga & Payne,1,57,3,58,18,-121.981136001,37.301255,Bus,POINT (-121.981136001 37.301255),Santa Clara,234,,,
Santa Clara Valley Transportation Authority,Saratoga & Mitzi,1,57,3,58,18,-121.9787,37.3047279990001,Bus,POINT (-121.9787 37.3047279990001),Santa Clara,116,,,
Santa Clara Valley Transportation Authority,Saratoga & Williams,1,57,3,58,18,-121.977361,37.3089350000001,Bus,POINT (-121.977361 37.3089350000001),Santa Clara,234,,,
Santa Clara Valley Transportation Authority,Saratoga & Manzanita,1,57,3,58,18,-121.977162999,37.3116860010001,Bus,POINT (-121.977162999 37.3116860010001),Santa Clara,234,,,
Santa Clara Valley Transportation Authority,Saratoga & Blackford,1,57,3,58,18,-121.976495,37.314577,Bus,POINT (-121.976495 37.314577),Santa Clara,116,,,
Santa Clara Valley Transportation Authority,Kiely & Saratoga,1,57,3,58,18,-121.972972,37.320226,Bus,POINT (-121.972972 37.320226),Santa Clara,116,,,
Santa Clara Valley Transportation Authority,Kiely & Stevens Creek,1,57,3,58,18,-121.975138,37.323679,Bus,POINT (-121.975138 37.323679),Santa Clara,234,,,
Santa Clara Valley Transportation Authority,Kiely & Mauricia,1,57,3,58,18,-121.974672,37.326895,Bus,POINT (-121.974672 37.326895),Santa Clara,234,,,
Santa Clara Valley Transportation Authority,Kiely & Pruneridge,1,57,3,58,18,-121.974652,37.3306420000001,Bus,POINT (-121.974652 37.3306420000001),Santa Clara,234,,,
Santa Clara Valley Transportation Authority,Kiely & Forbes,1,57,3,58,18,-121.973831,37.3331199990001,Bus,POINT (-121.973831 37.3331199990001),Santa Clara,234,,,
Santa Clara Valley Transportation Authority,Kiely & Toledo,1,57,3,58,18,-121.974866,37.335763,Bus,POINT (-121.974866 37.335763),Santa Clara,116,,,
Santa Clara Valley Transportation Authority,Kiely & Benton,1,57,3,58,18,-121.977507,37.34511,Bus,POINT (-121.977507 37.34511),Santa Clara,234,,,
Santa Clara Valley Transportation Authority,Kiely & El Sobrante,1,57,3,58,18,-121.97753,37.3492600000001,Bus,POINT (-121.97753 37.3492600000001),Santa Clara,234,,,
Santa Clara Valley Transportation Authority,Bowers & El Camino Real,1,57,3,58,18,-121.977504,37.3532050000001,Bus,POINT (-121.977504 37.3532050000001),Santa Clara,116,,,
Santa Clara Valley Transportation Authority,Bowers & Warburton,1,57,3,58,18,-121.977641,37.3560650000001,Bus,POINT (-121.977641 37.3560650000001),Santa Clara,234,,,
Santa Clara Valley Transportation Authority,Bowers & Monroe,1,57,3,58,18,-121.975486,37.3635100000001,Bus,POINT (-121.975486 37.3635100000001),Santa Clara,234,,,
